Id	Desc	WorldName	WorldType	Region	SelfIp	PublicIp	PublicIpV6	PublicDomain	PortForClient	ServerThreadCount	DBThreadCount	HttpThreadCount	DBIP	DBPort	HttpIP	HttpPort	HttpServerFakeTokenCheckPort	HttpServerPayPort	HttpServerRefundPort	HttpServerIDIPPort	HttpServerLaoHuVipPort	DeletRolePort	MySQLIP	MySQLPort	DataBaseName	DataBaseUser	DataBasePsw	MaxOnlinePlayingPlayer	MaxOnlineQueuingPlayer	MaxRegisterPlayer	MsdkChannel	AreaId	PlatId	Partition	CrossListenPort	OpenReg	PortForGMI	PortForGMClient	GMDataBasePsw	PortForLB
11	程序自启	跨服11世界-1区	0	1	127.0.0.1	127.0.0.1		wanmei.com(example)	3441	3	2	2	127.0.0.1	3443	127.0.0.1	3444	3445	9101	9201	3452	9601	9701	10.68.14.100	3306	carddb_11	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	11	3448	1	9501	9300	xjlzxdbmm	-1
12	程序自启	跨服12世界-1区	0	1	127.0.0.1	127.0.0.1			3541	3	2	2	127.0.0.1	3543	127.0.0.1	3544	3545	9102	9202	3552	9602	9702	10.68.14.100	3306	carddb_12	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	12	3548	1	9502	9300	xjlzxdbmm	-1
13	程序自启	跨服13世界-1区	0	1	127.0.0.1	127.0.0.1			3641	3	2	2	127.0.0.1	3643	127.0.0.1	3644	3645	9103	9203	3652	9603	9703	10.68.14.100	3306	carddb_13	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	13	3648	1	9503	9300	xjlzxdbmm	-1
14	程序自启	跨服14世界-1区	0	1	127.0.0.1	127.0.0.1			3741	3	2	2	127.0.0.1	3743	127.0.0.1	3744	3745	9104	9204	3752	9604	9704	10.68.14.100	3306	carddb_14	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	14	3748	1	9504	9300	xjlzxdbmm	-1
#跨服2区																																								
15	程序自启	跨服15世界-2区	0	2	127.0.0.1	127.0.0.1			3341	3	2	2	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_15	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	15	3348	1	9500	9300	xjlzxdbmm	-1
16	程序自启	跨服16世界-2区	0	2	127.0.0.1	127.0.0.1			3441	3	2	2	127.0.0.1	3443	127.0.0.1	3444	3445	9101	9201	3452	9601	9701	10.68.14.100	3306	carddb_16	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	16	3448	1	9501	9300	xjlzxdbmm	-1
17	程序自启	跨服17世界-2区	0	2	127.0.0.1	127.0.0.1			3541	3	2	2	127.0.0.1	3543	127.0.0.1	3544	3545	9102	9202	3552	9602	9702	10.68.14.100	3306	carddb_17	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	17	3548	1	9502	9300	xjlzxdbmm	-1
18	程序自启	跨服18世界-2区	0	2	127.0.0.1	127.0.0.1			3641	3	2	2	127.0.0.1	3643	127.0.0.1	3644	3645	9103	9203	3652	9603	9703	10.68.14.100	3306	carddb_18	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	18	3648	1	9503	9300	xjlzxdbmm	-1
19	程序自启	跨服19世界-2区	0	2	127.0.0.1	127.0.0.1			3741	3	2	2	127.0.0.1	3743	127.0.0.1	3744	3745	9104	9204	3752	9604	9704	10.68.14.100	3306	carddb_19	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	19	3748	1	9504	9300	xjlzxdbmm	-1
#																																								
20	程序自启	20世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_20	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	20	3348	1	9500	9300	xjlzxdbmm	-1
21	程序自启	21世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_21	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	21	3348	1	9500	9300	xjlzxdbmm	-1
22	程序自启	22世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_22	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	22	3348	1	9500	9300	xjlzxdbmm	-1
23	程序自启	23世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_23	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	23	3348	1	9500	9300	xjlzxdbmm	-1
24	程序自启	24世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_24	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	24	3348	1	9500	9300	xjlzxdbmm	-1
25	程序自启	25世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_25	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	25	3348	1	9500	9300	xjlzxdbmm	-1
26	程序自启	26世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_26	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	26	3348	1	9500	9300	xjlzxdbmm	-1
27	程序自启	27世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_27	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	27	3348	1	9500	9300	xjlzxdbmm	-1
28	程序自启	28世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_28	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	28	3348	1	9500	9300	xjlzxdbmm	-1
29	程序自启	29世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_29	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	29	3348	1	9500	9300	xjlzxdbmm	-1
30	程序自启	30世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_30	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	30	3348	1	9500	9300	xjlzxdbmm	-1
31	程序自启	31世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_31	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	31	3348	1	9500	9300	xjlzxdbmm	-1
32	程序自启	32世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_32	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	32	3348	1	9500	9300	xjlzxdbmm	-1
33	程序自启	33世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_33	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	33	3348	1	9500	9300	xjlzxdbmm	-1
34	程序自启	34世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_34	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	34	3348	1	9500	9300	xjlzxdbmm	-1
35	程序自启	35世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_35	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	35	3348	1	9500	9300	xjlzxdbmm	-1
36	程序自启	36世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_36	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	36	3348	1	9500	9300	xjlzxdbmm	-1
37	程序自启	37世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_37	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	37	3348	1	9500	9300	xjlzxdbmm	-1
38	程序自启	38世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_38	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	38	3348	1	9500	9300	xjlzxdbmm	-1
39	程序自启	39世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_39	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	39	3348	1	9500	9300	xjlzxdbmm	-1
40	程序自启	40世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_40	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	40	3348	1	9500	9300	xjlzxdbmm	-1
41	程序自启	41世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_41	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	41	3348	1	9500	9300	xjlzxdbmm	-1
42	程序自启	42世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_42	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	42	3348	1	9500	9300	xjlzxdbmm	-1
43	程序自启	43世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_43	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	43	3348	1	9500	9300	xjlzxdbmm	-1
44	程序自启	44世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_44	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	44	3348	1	9500	9300	xjlzxdbmm	-1
45	程序自启	45世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_45	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	45	3348	1	9500	9300	xjlzxdbmm	-1
46	程序自启	46世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_46	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	46	3348	1	9500	9300	xjlzxdbmm	-1
47	程序自启	47世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_47	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	47	3348	1	9500	9300	xjlzxdbmm	-1
48	程序自启	48世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_48	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	48	3348	1	9500	9300	xjlzxdbmm	-1
49	程序自启	49世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_49	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	49	3348	1	9500	9300	xjlzxdbmm	-1
#GM服																																								
50	GM程序自启	GM程序自启	1	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_50	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	50	3348	1	9500	9300	xjlzxdbmm	-1
51	GM程序自启	GM程序自启	1	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_51	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	51	3348	1	9500	9300	xjlzxdbmm	-1
52	GM程序自启	GM程序自启	1	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_52	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	52	3348	1	9500	9300	xjlzxdbmm	-1
53	GM程序自启	GM程序自启	1	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_53	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	53	3348	1	9500	9300	xjlzxdbmm	-1
54	GM程序自启	GM程序自启	1	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_54	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	54	3348	1	9500	9300	xjlzxdbmm	-1
55	GM程序自启	GM程序自启	1	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_55	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	55	3348	1	9500	9300	xjlzxdbmm	-1
56	GM程序自启	GM程序自启	1	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_56	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	56	3348	1	9500	9300	xjlzxdbmm	-1
57	GM程序自启	GM程序自启	1	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_57	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	57	3348	1	9500	9300	xjlzxdbmm	-1
58	GM程序自启	GM程序自启	1	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_58	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	58	3348	1	9500	9300	xjlzxdbmm	-1
59	GM程序自启	GM程序自启	1	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_59	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	59	3348	1	9500	9300	xjlzxdbmm	-1
#																																								
60	海外程序自启	60世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_60	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	60	3348	1	9500	9300	xjlzxdbmm	-1
61	海外程序自启	61世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_61	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	61	3348	1	9500	9300	xjlzxdbmm	-1
62	海外程序自启	62世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_62	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	62	3348	1	9500	9300	xjlzxdbmm	-1
63	海外程序自启	63世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_63	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	63	3348	1	9500	9300	xjlzxdbmm	-1
64	海外程序自启	64世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_64	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	64	3348	1	9500	9300	xjlzxdbmm	-1
65	海外程序自启	65世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_65	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	65	3348	1	9500	9300	xjlzxdbmm	-1
66	海外程序自启	66世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_66	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	66	3348	1	9500	9300	xjlzxdbmm	-1
67	海外程序自启	67世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_67	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	67	3348	1	9500	9300	xjlzxdbmm	-1
68	海外程序自启	68世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_68	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	68	3348	1	9500	9300	xjlzxdbmm	-1
69	海外程序自启	69世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_69	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	69	3348	1	9500	9300	xjlzxdbmm	-1
70	海外程序自启	70世界	0	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_70	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	70	3348	1	9500	9300	xjlzxdbmm	-1
#登录服																																								
80	登录服80	跨服程序自启1	4	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	-1	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	127.0.0.1	3306	carddb_20100	root	heimaodb	20000	1000	100000	-1	-1	-1	1000	3348	1	9500	9300	heimaodb	3332
#CDKey服																																								
81	CDKey	CDKey程序自启	2	0	127.0.0.1	127.0.0.1			3341	32	32	4	127.0.0.1	-1	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	127.0.0.1	3306	carddb_20100	root	heimaodb	20000	1000	100000	-1	-1	-1	1000	3348	1	9500	9300	heimaodb	-1
#世界服																																								
90	跨服程序自启	跨服程序自启	3	1	127.0.0.1	127.0.0.1			5141	32	32	4	127.0.0.1	5143	127.0.0.1	5144	5145	9100	9200	5147	9600	9700	10.68.14.100	3306	carddb_90	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	9	3348	1	9500	9300	xjlzxdbmm	-1
91	跨服程序自启	跨服程序自启	3	2	127.0.0.1	127.0.0.1			5241	32	32	4	127.0.0.1	5243	127.0.0.1	5244	5345	9100	9200	5242	9600	9700	10.68.14.100	3306	carddb_91	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	9	3348	1	9500	9300	xjlzxdbmm	-1
92	跨服程序自启	跨服程序自启	3	0	127.0.0.1	127.0.0.1			5341	32	32	4	127.0.0.1	5343	127.0.0.1	5344	5445	9100	9200	5352	9600	9700	10.68.14.100	3306	carddb_92	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	10	3348	1	9500	9300	xjlzxdbmm	-1
93	跨服程序自启	跨服程序自启	3	0	127.0.0.1	127.0.0.1			5441	32	32	4	127.0.0.1	5443	127.0.0.1	5444	5445	9100	9200	5452	9600	9700	10.68.14.100	3306	carddb_93	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	10	3348	1	9500	9300	xjlzxdbmm	-1
94	跨服程序自启	跨服程序自启	3	0	127.0.0.1	127.0.0.1			5541	32	32	4	127.0.0.1	5543	127.0.0.1	5544	5545	9100	9200	5552	9600	9700	10.68.14.100	3306	carddb_94	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	10	3348	1	9500	9300	xjlzxdbmm	-1
95	跨服程序自启	跨服程序自启	3	0	127.0.0.1	127.0.0.1			5641	32	32	4	127.0.0.1	5643	127.0.0.1	5644	5655	9100	9200	5655	9600	9700	10.68.14.100	3306	carddb_95	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	9	3348	1	9500	9300	xjlzxdbmm	-1
96	跨服程序自启	跨服程序自启	3	0	127.0.0.1	127.0.0.1			5741	32	32	4	127.0.0.1	5743	127.0.0.1	5744	5745	9100	9200	5757	9600	9700	10.68.14.100	3306	carddb_96	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	9	3348	1	9500	9300	xjlzxdbmm	-1
97	跨服程序自启	跨服程序自启	3	0	127.0.0.1	127.0.0.1			5841	32	32	4	127.0.0.1	5843	127.0.0.1	5844	5835	9100	9200	5859	9600	9700	10.68.14.100	3306	carddb_97	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	10	3348	1	9500	9300	xjlzxdbmm	-1
98	跨服程序自启	跨服程序自启	3	0	127.0.0.1	127.0.0.1			5941	32	32	4	127.0.0.1	5943	127.0.0.1	5944	5925	9100	9200	5961	9600	9700	10.68.14.100	3306	carddb_98	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	10	3348	1	9500	9300	xjlzxdbmm	-1
